100 35137
1269 1323 1
705 735 1
282 294 1
846 882 1
333 414 0.055556
282 294 0.078231
296 368 1
111 138 1
296 368 1
148 184 1
1269 1323 1
423 441 1
1128 1176 1
333 414 1
333 414 1
333 414 1
705 735 1
148 184 1
141 147 1
296 368 1
705 735 1
1269 1323 1
74 92 1
705 735 1
111 138 1
370 460 1
296 368 1
282 294 1
259 322 1
222 276 1
987 1029 1
1269 1323 1
74 92 1
564 588 0.039116
74 92 1
370 460 1
333 414 1
185 230 1
370 460 0.05
111 138 1
370 460 1
148 184 1
296 368 1
1269 1323 1
1269 1323 1
282 294 1
148 184 1
282 294 1
333 414 0.055556
111 138 1
370 460 0.05
423 441 1
846 882 1
1269 1323 1
423 441 1
74 92 0.25
111 138 1
111 138 0.166667
37 46 0.5
987 1029 1
1410 1470 1
185 230 0.1
1269 1323 0.017385
111 138 1
185 230 1
74 92 1
222 276 1
705 735 1
74 92 0.25
148 184 1
259 322 1
296 368 1
1128 1176 1
282 294 1
846 882 0.026077
141 147 1
1410 1470 0.015646
296 368 1
846 882 1
111 138 1
259 322 1
564 588 1
1269 1323 1
222 276 0.083333
846 882 1
296 368 1
370 460 1
333 414 1
148 184 1
222 276 1
564 588 1
423 441 1
185 230 1
564 588 1
564 588 1
333 414 1
1128 1176 0.019558
259 322 1
1269 1323 1
37 46 1
