500 78914
353 756 1
122 458 0.843246
667 994 1
183 557 1
789 1061 1
540 911 1
893 1110 0.921189
767 1049 0.741981
290 691 0.830426
750 1040 1
786 1059 1
902 1114 1
582 940 1
741 1036 1
234 625 1
143 495 1
97 410 1
325 728 1
438 832 1
349 752 1
341 744 1
450 842 0.809917
583 940 1
403 802 0.715107
324 727 1
114 443 1
179 551 1
827 1079 1
677 999 1
884 1106 0.825527
40 265 1
283 683 1
495 878 1
138 486 0.832253
751 1041 1
856 1093 0.75693
524 899 1
770 1051 1
10 133 1
799 1066 1
975 1144 1
849 1090 1
389 790 1
126 465 0.963913
886 1107 1
382 783 1
152 509 1
328 731 1
368 770 1
357 760 1
506 886 1
558 923 1
254 650 1
672 996 1
807 1070 0.79688
885 1106 0.82203
478 865 1
935 1128 1
475 862 1
94 403 1
299 701 0.63291
169 536 1
685 1004 1
921 1122 1
702 1014 1
608 957 1
4 84 1
417 814 1
360 763 0.970055
945 1132 1
380 781 0.943197
506 886 1
628 970 0.690092
641 978 1
890 1109 0.941578
181 554 0.632636
793 1063 0.716245
656 987 1
27 218 1
459 849 1
358 761 0.890892
417 814 1
121 456 1
453 845 0.790017
140 490 1
920 1122 1
5 94 1
690 1007 1
399 799 1
802 1067 1
997 1153 0.921957
185 560 1
589 944 1
552 919 0.915282
335 738 1
274 673 1
276 675 0.737306
411 809 1
644 980 1
32 237 1
720 1024 1
873 1101 0.777068
806 1069 1
497 879 0.676799
786 1059 1
710 1018 1
345 748 1
684 1004 1
849 1090 1
76 364 1
557 923 1
713 1020 0.841297
253 649 1
443 836 0.790013
329 732 1
908 1117 1
590 945 1
272 671 1
593 947 1
658 988 1
377 779 1
458 849 1
889 1108 1
506 886 1
683 1003 1
104 424 0.890326
952 1135 1
221 609 1
627 969 0.901702
924 1123 1
470 858 1
974 1144 1
3 73 1
514 892 1
397 797 0.923186
979 1146 0.869268
152 509 1
353 756 1
194 572 0.937632
449 841 1
549 917 0.83017
64 334 0.916581
677 999 0.872709
907 1116 1
835 1083 1
946 1133 1
940 1130 1
2 59 0.889492
316 719 1
490 874 1
796 1064 1
694 1009 1
115 445 1
271 670 1
896 1111 1
667 994 1
661 990 1
408 807 1
31 233 1
700 1013 0.845034
226 615 1
969 1142 1
593 947 1
732 1031 1
772 1052 1
828 1080 1
706 1016 1
535 907 1
989 1150 1
544 914 0.819797
774 1053 1
509 888 1
829 1080 1
301 703 1
418 815 0.797425
175 545 1
498 880 1
421 818 1
1 42 1
480 866 1
774 1053 1
317 720 1
100 416 1
644 980 0.863123
748 1039 1
137 484 1
920 1122 1
947 1133 1
619 964 1
770 1051 1
620 965 1
487 871 1
185 560 0.879153
443 836 1
727 1028 0.992114
513 891 0.785115
176 546 1
703 1014 1
990 1150 1
463 853 1
75 361 0.893609
301 703 1
627 969 1
577 936 1
409 807 0.957445
316 719 1
310 713 1
975 1144 1
329 732 1
726 1027 1
952 1135 1
468 857 0.605471
532 905 1
568 930 1
107 430 1
502 883 1
790 1061 1
816 1074 1
907 1116 1
570 932 1
525 900 1
854 1092 0.75996
119 453 0.938724
300 702 1
744 1037 1
499 881 1
87 388 1
125 463 0.917818
432 827 0.873824
36 251 1
919 1121 1
186 561 1
969 1142 1
175 545 1
491 875 1
716 1022 1
698 1012 1
356 759 1
761 1046 0.723872
530 904 1
408 807 1
364 766 1
929 1126 1
815 1074 1
199 579 1
909 1117 1
863 1096 0.946951
754 1042 1
616 962 1
477 864 0.791146
519 896 1
185 560 0.776326
227 616 1
770 1051 1
120 454 1
764 1048 1
23 201 0.746151
231 622 1
210 594 0.817446
64 334 1
908 1117 1
129 471 1
263 660 1
9 126 1
144 496 1
494 877 1
485 870 1
798 1065 1
958 1138 0.937745
44 278 1
113 441 1
8 119 1
367 769 1
40 265 1
37 255 1
282 682 1
429 825 1
468 857 1
946 1133 1
466 855 1
643 979 1
686 1005 1
846 1088 1
718 1023 1
894 1110 1
783 1058 1
679 1001 1
984 1148 1
390 791 1
689 1006 1
974 1144 1
866 1098 0.847476
533 906 1
248 643 1
773 1052 1
242 635 1
670 995 0.674555
626 968 1
568 930 1
294 695 1
447 840 1
542 912 1
375 777 1
497 879 0.887673
103 422 1
64 334 0.899197
178 549 1
644 980 0.916878
328 731 1
491 875 1
451 843 1
805 1069 1
877 1103 0.633618
541 911 1
607 956 1
331 734 0.837996
676 999 1
278 678 1
685 1004 1
678 1000 1
685 1004 1
496 878 1
300 702 1
371 773 1
706 1016 0.821032
192 570 1
449 841 1
710 1018 0.767186
284 684 1
451 843 1
558 923 1
151 508 1
347 750 1
321 724 1
692 1008 1
949 1134 1
566 929 1
790 1061 0.914055
561 925 1
173 542 1
222 610 1
323 726 1
714 1021 1
891 1109 1
32 237 1
536 908 1
386 787 1
94 403 1
31 233 1
45 281 1
952 1135 0.897964
288 689 0.89207
5 94 1
628 970 0.729308
293 694 1
548 916 1
530 904 1
25 210 1
491 875 1
238 630 1
195 574 1
41 268 0.965265
406 805 0.913634
510 889 1
436 831 1
94 403 0.862669
246 640 1
388 789 1
654 986 1
544 914 0.527196
947 1133 0.89082
509 888 0.80839
1 42 1
701 1013 1
127 467 0.725142
908 1117 1
194 572 0.775445
761 1046 1
959 1138 0.742697
473 861 1
22 197 1
966 1141 1
122 458 1
525 900 1
213 598 1
565 928 1
464 853 1
283 683 1
551 919 0.940553
827 1079 0.659046
739 1034 1
921 1122 1
266 664 1
365 767 1
449 841 1
708 1017 0.900544
545 914 1
875 1102 1
263 660 1
31 233 1
821 1077 1
832 1082 1
623 966 0.755363
612 959 0.79512
304 706 1
199 579 1
627 969 1
72 354 1
117 449 1
999 1154 1
295 696 1
179 551 0.786718
945 1132 1
120 454 1
818 1075 1
709 1018 1
196 575 0.775512
836 1084 1
349 752 1
386 787 1
808 1070 0.90542
598 950 1
265 663 1
902 1114 1
56 313 0.981048
789 1061 1
509 888 1
882 1105 1
698 1012 1
329 732 1
678 1000 0.660497
204 586 1
797 1065 0.769367
389 790 1
941 1131 1
162 525 1
739 1034 0.963382
947 1133 1
36 251 1
215 601 0.964257
8 119 1
450 842 1
520 896 1
420 817 1
272 671 1
107 430 1
184 558 1
496 878 1
796 1064 1
47 287 1
963 1140 0.946743
144 496 1
805 1069 1
130 472 1
414 812 1
767 1049 1
183 557 1
963 1140 1
860 1095 1
374 776 1
47 287 0.93518
305 707 1
75 361 1
757 1044 0.773129
669 995 1
23 201 1
709 1018 1
391 791 1
547 916 1
8 119 1
435 830 1
338 741 1
403 802 1
603 954 0.845254
692 1008 1
340 743 1
691 1008 1
519 896 1
164 528 1
687 1005 1
644 980 1
312 715 1
837 1084 1
557 923 1
631 972 1
792 1062 1
89 393 1
139 488 1
478 865 0.928357
438 832 1
964 1140 0.825986
578 937 0.898749
889 1108 1
170 537 1
70 349 1
857 1094 0.69957
829 1080 1
438 832 1
903 1114 1
252 647 1
