100 28479
1015 1379 0.01269
81 35 1
1450 1970 1
405 175 0.1
486 210 1
1305 1773 0.00987
324 140 0.125
243 105 0.166667
1450 1970 1
324 140 1
145 197 1
729 315 1
81 35 1
729 315 0.055556
1015 1379 1
725 985 0.017766
405 175 1
243 105 1
324 140 1
567 245 0.071429
725 985 0.017766
729 315 1
324 140 1
1450 1970 1
1450 1970 0.008883
810 350 1
243 105 1
1015 1379 1
1450 1970 0.008883
145 197 1
1160 1576 0.011104
243 105 0.166667
324 140 0.125
580 788 1
1450 1970 0.008883
243 105 0.166667
1160 1576 0.011104
729 315 1
870 1182 0.014805
648 280 0.0625
435 591 1
435 591 1
1450 1970 0.008883
324 140 0.125
162 70 0.25
725 985 0.017766
486 210 1
324 140 0.125
580 788 1
486 210 0.083333
290 394 1
486 210 0.083333
810 350 0.05
162 70 0.25
243 105 1
435 591 1
405 175 1
81 35 1
580 788 0.022208
810 350 1
729 315 0.055556
243 105 0.166667
1160 1576 1
486 210 0.083333
324 140 0.125
1160 1576 0.011104
81 35 0.5
405 175 0.1
324 140 0.125
810 350 1
1160 1576 1
870 1182 1
1015 1379 1
810 350 0.05
725 985 0.017766
1160 1576 0.011104
290 394 0.044416
486 210 0.083333
486 210 1
290 394 0.044416
1305 1773 1
324 140 1
162 70 1
729 315 0.055556
435 591 0.029611
435 591 1
1160 1576 1
1015 1379 0.01269
729 315 1
580 788 1
729 315 0.055556
567 245 1
725 985 1
162 70 0.25
1015 1379 0.01269
725 985 0.017766
1160 1576 1
1160 1576 1
1160 1576 1
580 788 1
